 "A000   ","Cholera due to Vibrio cholerae 01, biovar cholerae"
"A001   ","Cholera due to Vibrio cholerae 01, biovar eltor"
"A009   ","Cholera, unspecified"
"Z510   ",Encounter for antineoplastic radiation therapy
"Z5111  ",Encounter for antineoplastic chemotherapy
"Z5112  ",Encounter for antineoplastic immunotherapy
"Z515   ",Encounter for palliative care
"Z5181  ",Encounter for therapeutic drug level monitoring
"Z5189  ",Encounter for other specified aftercare
"Z52000 ","Unspecified donor, whole blood"
"Z52001 ","Unspecified donor, stem cells"
"Z52008 ","Unspecified donor, other blood"
"Z52010 ","Autologous donor, whole blood"
"Z52011 ","Autologous donor, stem cells"
"Z52018 ","Autologous donor, other blood"
"Z52090 ","Other blood donor, whole blood"
"Z52091 ","Other blood donor, stem cells"
"Z52098 ","Other blood donor, other blood"
"Z5210  ","Skin donor, unspecified"
"Z5211  ","Skin donor, autologous"
"Z5219  ","Skin donor, other"
"Z5220  ","Bone donor, unspecified"
"Z5221  ","Bone donor, autologous"
"Z5229  ","Bone donor, other"
"Z523   ",Bone marrow donor
"Z524   ",Kidney donor
"Z525   ",Cornea donor
"Z526   ",Liver donor
"Z52810 ","Egg (Oocyte) donor under age 35, anonymous recipient"
"Z52811 ","Egg (Oocyte) donor under age 35, designated recipient"
"Z52812 ","Egg (Oocyte) donor age 35 and over, anonymous recipient"
"Z52813 ","Egg (Oocyte) donor age 35 and over, designated recipient"
"Z52819 ","Egg (Oocyte) donor, unspecified"
"Z5289  ",Donor of other specified organs or tissues
"Z529   ",Donor of unspecified organ or tissue
"Z5301  ",Procedure and treatment not carried out due to patient smoking
"Z5309  ",Procedure and treatment not carried out because of other contraindication
"Z531   ",Procedure and treatment not carried out because of patient's decision for reasons of belief and group pressure
"Z5320  ",Procedure and treatment not carried out because of patient's decision for unspecified reasons
"Z5321  ",Procedure and treatment not carried out due to patient leaving prior to being seen by health care provider
"Z5329  ",Procedure and treatment not carried out because of patient's decision for other reasons
"Z538   ",Procedure and treatment not carried out for other reasons
"Z539   ","Procedure and treatment not carried out, unspecified reason"
"Z550   ",Illiteracy and low-level literacy
"Z551   ",Schooling unavailable and unattainable
"Z552   ",Failed school examinations
"Z553   ",Underachievement in school
"Z554   ",Educational maladjustment and discord with teachers and classmates
"Z558   ",Other problems related to education and literacy
"Z559   ","Problems related to education and literacy, unspecified"
"Z560   ","Unemployment, unspecified"
"Z561   ",Change of job
"Z562   ",Threat of job loss
"Z563   ",Stressful work schedule
"Z564   ",Discord with boss and workmates
"Z565   ",Uncongenial work environment
"Z566   ",Other physical and mental strain related to work
